Date,Close,High,Low,Open,Volume,MA20,MA50,Daily Return
,NVDA,NVDA,NVDA,NVDA,NVDA,,,
2020-01-02,5.971410274505615,5.971410274505615,5.8920109160937795,5.942537823696139,237536000,,,
2020-01-03,5.875831604003906,5.9196385190543355,5.826797767959651,5.851688071391556,205384000,,,-0.0160060464962144
2020-01-06,5.900472164154053,5.905699084702137,5.756358226332289,5.782492829072712,262636000,,,0.00419354430330432
2020-01-07,5.971907615661621,6.017705602199702,5.883796256515214,5.928847472247913,314856000,,,0.01210673476972679
2020-01-08,5.983108043670654,6.0244258788447835,5.927602987861085,5.967676046816965,277108000,,,0.0018755193030213224
2020-01-09,6.048818588256836,6.121249187426067,5.9950558356906445,6.069477507253272,255112000,,,0.010982677248440265
2020-01-10,6.081175804138184,6.186461474165216,6.066988582177594,6.156095483057426,316296000,,,0.005349344737196393
2020-01-13,6.2718353271484375,6.296974398363853,6.14165934572188,6.1643098136228245,319840000,,,0.03135241097297525
2020-01-14,6.154850482940674,6.254411214964361,6.141658323955984,6.229022907846783,359088000,,,-0.018652410037199085
2020-01-15,6.112287998199463,6.1899455131991035,6.086402159866249,6.16754428868986,263104000,,,-0.006915275173488111
2020-01-16,6.195919990539551,6.201893682815855,6.1424060001740175,6.16580276377992,284192000,,,0.01368260009422384
2020-01-17,6.204631805419922,6.222552883055302,6.157091505191324,6.215085648688116,253792000,,,0.0014060567104923205
2020-01-21,6.171278476715088,6.2048803152981495,6.137178632668914,6.168042628062491,217916000,,,-0.005375553256149579
2020-01-22,6.225290298461914,6.311908122294993,6.197662150369321,6.216578763004167,239240000,,,0.008752128420491667
2020-01-23,6.293737411499023,6.302200180416057,6.176504847064857,6.265362971207692,244516000,,,0.010995007422227365
2020-01-24,6.234497547149658,6.459007263527305,6.1802368071465645,6.409226672291954,373512000,,,-0.00941250968639562
2020-01-27,5.978629112243652,6.029654028501746,5.7802538998042525,5.92984403404607,470536000,,,-0.0410407467435745
2020-01-28,6.172024726867676,6.204381786434849,5.991321394689155,6.044586611311332,310976000,,,0.03234781937350295
2020-01-29,6.11154317855835,6.193680863353679,6.071718400565541,6.157589940176437,258848000,,,-0.00979930427790443
2020-01-30,6.118261337280273,6.131702261108776,5.958715406607862,6.01372245384003,290504000,6.103875589370728,,0.0010992573439543296
2020-01-31,5.884792327880859,6.084411825677321,5.842976956920806,6.07246444119071,370420000,6.09954469203949,,-0.038159371842588996
2020-02-03,5.981863021850586,6.001277160881522,5.860398608648593,5.866621064761433,255564000,6.104846262931824,,0.01649517749501994
2020-02-04,6.151116847991943,6.170282699054375,6.073708571920442,6.123737942425535,271544000,6.117378497123719,,0.02829450047971771
2020-02-05,6.241469860076904,6.282289699223964,6.158087399726927,6.272084620751414,208220000,6.130856609344482,,0.01468887916093764
2020-02-06,6.328335285186768,6.328335285186768,6.194675177734428,6.275817310153531,218284000,6.148117971420288,,0.013917462882500065
